player,club,top100_owners,top100_captains,event_points,owned_by_me
Ødegaard,ARS,94,86,11,false
Calafiori,ARS,57,0,9,true
Haaland,MCI,52,0,0,true
White,ARS,51,13,11,false
João Pedro,CHE,49,0,0,true
B.Fernandes,MUN,46,0,0,true
Mbeumo,MUN,39,0,0,true
Saka,ARS,36,1,9,false
Isak,LIV,25,0,0,false
Virgil,LIV,24,0,0,false
Szoboszlai,LIV,23,0,0,false
Raya,ARS,22,0,6,false
Shaw,MUN,22,0,0,false
Calvert-Lewin,LEE,21,0,0,false
O'Reilly,MCI,21,0,0,true
Semenyo,MCI,21,0,0,false
van Ewijk,COV,20,0,1,false
Lammens,MUN,20,0,0,false
Thiago,BRE,20,0,0,false
Maguire,MUN,19,0,0,false
Verbruggen,BHA,18,0,0,true
Pickford,EVE,16,0,0,false
Watkins,AVL,16,0,0,false
Thomas,COV,15,0,3,false
Dubravka,TOT,15,0,0,true
James,CHE,15,0,0,false
Pedro Porro,TOT,15,0,0,false
Tzolis,ARS,14,0,6,false
Palmer,CHE,14,0,0,false
Havertz,ARS,13,0,6,false
Gabriel,ARS,13,0,5,false
A.Becker,LIV,13,0,0,false
Rogers,CHE,13,0,0,false
Gibbs-White,NFO,12,0,0,false
Richarlison,TOT,12,0,0,false
Diop,IPS,11,0,0,true
Donnarumma,MCI,11,0,0,false
Konsa,ARS,11,0,0,false
Senesi,TOT,11,0,0,false
Onyeka,COV,10,0,2,false
Thomas-Asante,COV,10,0,2,false
Kinsky,TOT,10,0,0,false
Muñoz,CRY,10,0,0,false
Tarkowski,EVE,10,0,0,false
Grimes,COV,9,0,2,false
Tchaouna,COV,9,0,2,false
Lacroix,CHE,9,0,0,false
Roefs,SUN,9,0,0,false
Simms,COV,8,0,2,false
Rushworth,COV,8,0,1,false
Brobbey,SUN,8,0,0,true
Cunha,MUN,8,0,0,false
Kelleher,BRE,8,0,0,false
Mateta,CRY,8,0,0,false
N.Williams,NFO,8,0,0,false
Van Hecke,TOT,8,0,0,false
Wirtz,LIV,8,0,0,false
Evanilson,BOU,7,0,0,false
Ndiaye,EVE,7,0,0,false
Sarr,CRY,7,0,0,false
Enzo,CHE,6,0,0,false
