player,club,owners,captains,triple_captains,gw_points,owned_by_me
João Pedro,CHE,11,1,1,0,true
Calafiori,ARS,11,0,0,9,true
Szoboszlai,LIV,11,0,0,0,false
Haaland,MCI,10,4,0,0,true
B.Fernandes,MUN,9,5,0,0,true
Raya,ARS,8,0,0,6,false
Mbeumo,MUN,7,2,0,0,true
Tzolis,ARS,7,0,0,6,false
Brobbey,SUN,6,0,0,0,true
Calvert-Lewin,LEE,6,0,0,0,false
Gabriel,ARS,5,1,1,5,false
Isak,LIV,5,0,0,0,false
O'Reilly,MCI,5,0,0,0,true
Verbruggen,BHA,5,0,0,0,true
van Ewijk,COV,4,0,0,1,false
Kinsky,TOT,4,0,0,0,false
Lammens,MUN,4,0,0,0,false
Mitchell,CRY,4,0,0,0,false
Muñoz,CRY,4,0,0,0,false
Watkins,AVL,3,1,0,0,false
Rice,ARS,3,0,0,3,false
Dubravka,TOT,3,0,0,0,true
Groß,BHA,3,0,0,0,true
Maguire,MUN,3,0,0,0,false
N.Williams,NFO,3,0,0,0,false
Roefs,SUN,3,0,0,0,false
Semenyo,MCI,3,0,0,0,false
Shaw,MUN,3,0,0,0,false
Van Hecke,TOT,3,0,0,0,false
Virgil,LIV,3,0,0,0,false
Wirtz,LIV,3,0,0,0,false
Gakpo,LIV,2,1,0,0,false
Cash,AVL,2,0,0,0,false
Cunha,MUN,2,0,0,0,false
Davis,IPS,2,0,0,0,false
Diop,IPS,2,0,0,0,true
E.Le Fée,SUN,2,0,0,0,false
Hughes,CRY,2,0,0,0,true
Hume,SUN,2,0,0,0,false
Palestra,CHE,2,0,0,0,false
Rodon,LEE,2,0,0,0,false
Rogers,CHE,2,0,0,0,false
Tonali,TOT,2,0,0,0,false
Trafford,LEE,2,0,0,0,false
Xhaka,SUN,2,0,0,0,false
Thomas,COV,1,0,0,3,false
Onyeka,COV,1,0,0,2,false
A.García,AVL,1,0,0,0,false
Ajer,BRE,1,0,0,0,false
Amad,MUN,1,0,0,0,false
Barnes,NEW,1,0,0,0,false
Belloumi,HUL,1,0,0,0,false
Beto,EVE,1,0,0,0,false
Bogle,LEE,1,0,0,0,true
Bruno G.,ARS,1,0,0,0,false
Burrowes,AVL,1,0,0,0,false
Caicedo,CHE,1,0,0,0,false
Cherki,MCI,1,0,0,0,true
De Cuyper,BHA,1,0,0,0,true
Egan,HUL,1,0,0,0,false
F.Kadıoğlu,BHA,1,0,0,0,false
Gomez,BHA,1,0,0,0,false
Guéhi,MCI,1,0,0,0,false
Gvardiol,MCI,1,0,0,0,false
Konsa,ARS,1,0,0,0,false
Lacroix,CHE,1,0,0,0,false
Martinez,AVL,1,0,0,0,false
Mateta,CRY,1,0,0,0,false
McNair,HUL,1,0,0,0,false
Rayan,BOU,1,0,0,0,false
Sakamoto,COV,1,0,0,0,false
Sarr,CRY,1,0,0,0,false
Senesi,TOT,1,0,0,0,false
Sessegnon,FUL,1,0,0,0,false
Thiago,BRE,1,0,0,0,false
Tielemans,MUN,1,0,0,0,false
Truffert,BOU,1,0,0,0,false
Wilson,LEE,1,0,0,0,false
Wood,NFO,1,0,0,0,false
Yarmoliuk,BRE,1,0,0,0,false
